time,w_expl_0,w_expl_1,w_RK2_0,w_RK2_1,exact_solution_0,exact_solution_1
3.700000,-0.931969,-0.578251,-0.847332,-0.531173,-0.848100,-0.529836
3.750000,-0.903057,-0.624849,-0.819714,-0.572875,-0.820559,-0.571561
3.800000,-0.871814,-0.670002,-0.790046,-0.613145,-0.790968,-0.611858
3.850000,-0.838314,-0.713593,-0.758401,-0.651881,-0.759399,-0.650625
3.900000,-0.802635,-0.755508,-0.724859,-0.688986,-0.725932,-0.687766
3.950000,-0.764859,-0.795640,-0.689503,-0.724368,-0.690651,-0.723188
4.000000,-0.725077,-0.833883,-0.652423,-0.757937,-0.653644,-0.756802
4.050000,-0.683383,-0.870137,-0.613711,-0.789611,-0.615002,-0.788525
4.100000,-0.639876,-0.904306,-0.573463,-0.819310,-0.574824,-0.818277
4.150000,-0.594661,-0.936300,-0.531781,-0.846959,-0.533209,-0.845984
4.200000,-0.547846,-0.966033,-0.488768,-0.872489,-0.490261,-0.871576
4.250000,-0.499544,-0.993425,-0.444533,-0.895837,-0.446087,-0.894989
4.300000,-0.449873,-1.018402,-0.399185,-0.916944,-0.400799,-0.916166
4.350000,-0.398953,-1.040896,-0.352839,-0.935757,-0.354509,-0.935053
4.400000,-0.346908,-1.060844,-0.305610,-0.952229,-0.307333,-0.951602
4.450000,-0.293866,-1.078189,-0.257617,-0.966319,-0.259389,-0.965773
4.500000,-0.239956,-1.092882,-0.208979,-0.977992,-0.210796,-0.977530
4.550000,-0.185312,-1.104880,-0.159818,-0.987219,-0.161676,-0.986844
4.600000,-0.130068,-1.114146,-0.110257,-0.993975,-0.112153,-0.993691
4.650000,-0.074361,-1.120649,-0.060421,-0.998246,-0.062349,-0.998054
4.700000,-0.018329,-1.124367,-0.010433,-1.000019,-0.012389,-0.999923
4.750000,0.037890,-1.125284,0.039581,-0.999291,0.037602,-0.999293
4.800000,0.094154,-1.123389,0.089496,-0.996062,0.087499,-0.996165
4.850000,0.150323,-1.118682,0.139188,-0.990343,0.137177,-0.990547
4.900000,0.206258,-1.111165,0.188531,-0.982145,0.186512,-0.982453
4.950000,0.261816,-1.100853,0.237402,-0.971491,0.235381,-0.971903
5.000000,0.316858,-1.087762,0.285680,-0.958407,0.283662,-0.958924
5.050000,0.371247,-1.071919,0.333243,-0.942925,0.331234,-0.943549
5.100000,0.424842,-1.053357,0.379973,-0.925084,0.377978,-0.925815
5.150000,0.477510,-1.032114,0.425752,-0.904929,0.423777,-0.905767
5.200000,0.529116,-1.008239,0.470467,-0.882510,0.468517,-0.883455
5.250000,0.579528,-0.981783,0.514004,-0.857883,0.512085,-0.858934
5.300000,0.628617,-0.952807,0.556256,-0.831111,0.554374,-0.832267
5.350000,0.676257,-0.921376,0.597116,-0.802259,0.595278,-0.803520
5.400000,0.722326,-0.887563,0.636482,-0.771401,0.634693,-0.772764
5.450000,0.766704,-0.851447,0.674257,-0.738612,0.672522,-0.740077
5.500000,0.809277,-0.813111,0.710345,-0.703976,0.708670,-0.705540
5.550000,0.849932,-0.772648,0.744655,-0.667579,0.743046,-0.669240
5.600000,0.888565,-0.730151,0.777104,-0.629512,0.775566,-0.631267
5.650000,0.925072,-0.685723,0.807608,-0.589870,0.806147,-0.591716
5.700000,0.959358,-0.639469,0.836092,-0.548752,0.834713,-0.550686
5.750000,0.991332,-0.591501,0.862484,-0.506261,0.861192,-0.508279
5.800000,1.020907,-0.541935,0.886719,-0.462504,0.885520,-0.464602
5.850000,1.048004,-0.490889,0.908736,-0.417590,0.907633,-0.419764
5.900000,1.072548,-0.438489,0.928480,-0.371631,0.927478,-0.373877
5.950000,1.094473,-0.384862,0.945901,-0.324743,0.945005,-0.327055
6.000000,1.113716,-0.330138,0.960955,-0.277042,0.960170,-0.279415
6.050000,1.130222,-0.274452,0.973606,-0.228648,0.972935,-0.231078
6.100000,1.143945,-0.217941,0.983822,-0.179682,0.983268,-0.182163
6.150000,1.154842,-0.160744,0.991576,-0.130266,0.991144,-0.132792
6.200000,1.162879,-0.103002,0.996850,-0.080524,0.996542,-0.083089
6.250000,1.168029,-0.044858,0.999630,-0.030581,0.999449,-0.033179
6.300000,1.170272,0.013544,0.999910,0.019438,0.999859,0.016814
6.350000,1.169595,0.072057,0.997688,0.069410,0.997769,0.066765
6.400000,1.165992,0.130537,0.992970,0.119207,0.993185,0.116549
6.450000,1.159465,0.188837,0.985769,0.168707,0.986119,0.166042
6.500000,1.150024,0.246810,0.976101,0.217784,0.976588,0.215120
6.550000,1.137683,0.304311,0.963992,0.266317,0.964616,0.263660
6.600000,1.122468,0.361195,0.949471,0.314184,0.950233,0.311541
6.650000,1.104408,0.417319,0.932575,0.361265,0.933474,0.358644
6.700000,1.083542,0.472539,0.913346,0.407442,0.914383,0.404850
6.750000,1.059915,0.526716,0.891832,0.452600,0.893006,0.450044
6.800000,1.033579,0.579712,0.868087,0.496626,0.869397,0.494113
6.850000,1.004594,0.631391,0.842171,0.539409,0.843616,0.536948
6.900000,0.973024,0.681620,0.814148,0.580843,0.815725,0.578440
6.950000,0.938943,0.730272,0.784088,0.620825,0.785796,0.618486
7.000000,0.902429,0.777219,0.752067,0.659253,0.753902,0.656987
7.050000,0.863568,0.822340,0.718164,0.696032,0.720124,0.693845
7.100000,0.822451,0.865519,0.682464,0.731071,0.684547,0.728969
7.150000,0.779175,0.906641,0.645058,0.764280,0.647258,0.762271
7.200000,0.733843,0.945600,0.606038,0.795577,0.608351,0.793668
7.250000,0.686563,0.982292,0.565501,0.824885,0.567924,0.823081
7.300000,0.637449,1.016620,0.523550,0.852129,0.526078,0.850437
7.350000,0.586618,1.048493,0.480289,0.877241,0.482916,0.875667
7.400000,0.534193,1.077824,0.435827,0.900159,0.438547,0.898708
7.450000,0.480302,1.104533,0.390274,0.920825,0.393083,0.919503
7.500000,0.425075,1.128548,0.343745,0.939188,0.346635,0.938000
7.550000,0.368648,1.149802,0.296356,0.955201,0.299322,0.954152
7.600000,0.311158,1.168235,0.248225,0.968825,0.251260,0.967920
7.650000,0.252746,1.183793,0.199474,0.980025,0.202570,0.979268
7.700000,0.193556,1.196430,0.150223,0.988774,0.153374,0.988168
7.750000,0.133735,1.206108,0.100597,0.995049,0.103794,0.994599
7.800000,0.073430,1.212794,0.050718,0.998835,0.053955,0.998543
7.850000,0.012790,1.216466,0.000713,1.000122,0.003982,0.999992
7.900000,-0.048034,1.217105,-0.049294,0.998908,-0.046002,0.998941
7.950000,-0.108889,1.214704,-0.099177,0.995195,-0.095871,0.995394
8.000000,-0.169624,1.209259,-0.148813,0.988992,-0.145500,0.989358
8.050000,-0.230087,1.200778,-0.198077,0.980315,-0.194765,0.980850
8.100000,-0.290126,1.189274,-0.246845,0.969186,-0.243544,0.969890
8.150000,-0.349590,1.174767,-0.294996,0.955632,-0.291714,0.956506
8.200000,-0.408328,1.157288,-0.342408,0.939688,-0.339155,0.940731
8.250000,-0.466192,1.136872,-0.388965,0.921393,-0.385748,0.922604
8.300000,-0.523036,1.113562,-0.434548,0.900793,-0.431377,0.902172
8.350000,-0.578714,1.087410,-0.479045,0.877939,-0.475928,0.879484
8.400000,-0.633084,1.058474,-0.522343,0.852889,-0.519289,0.854599
8.450000,-0.686008,1.026820,-0.564334,0.825706,-0.561352,0.827577
8.500000,-0.737349,0.992520,-0.604914,0.796457,-0.602012,0.798487
8.550000,-0.786975,0.955652,-0.643981,0.765216,-0.641167,0.767401
8.600000,-0.834758,0.916304,-0.681437,0.732061,-0.678720,0.734397
8.650000,-0.880573,0.874566,-0.717188,0.697074,-0.714576,0.699557
8.700000,-0.924301,0.830537,-0.751145,0.660343,-0.748647,0.662969
8.750000,-0.965828,0.784322,-0.783224,0.621960,-0.780846,0.624724
8.800000,-1.005044,0.736031,-0.813342,0.582022,-0.811093,0.584917
8.850000,-1.041846,0.685778,-0.841427,0.540627,-0.839313,0.543648
8.900000,-1.076135,0.633686,-0.867406,0.497880,-0.865435,0.501021
8.950000,-1.107819,0.579879,-0.891216,0.453887,-0.889394,0.457141
9.000000,-1.136813,0.524488,-0.912796,0.408759,-0.911130,0.412118
9.050000,-1.163037,0.467648,-0.932093,0.362608,-0.930589,0.366066
9.100000,-1.186420,0.409496,-0.949059,0.315550,-0.947722,0.319098
9.150000,-1.206895,0.350175,-0.963650,0.267703,-0.962485,0.271333
9.200000,-1.224403,0.289830,-0.975831,0.219186,-0.974844,0.222890
9.250000,-1.238895,0.228610,-0.985570,0.170120,-0.984765,0.173889
9.300000,-1.250325,0.166665,-0.992844,0.120629,-0.992225,0.124454
9.350000,-1.258659,0.104149,-0.997634,0.070836,-0.997205,0.074708
9.400000,-1.263866,0.041216,-0.999929,0.020866,-0.999693,0.024775
9.450000,-1.265927,-0.021977,-0.999723,-0.029157,-0.999682,-0.025219
9.500000,-1.264828,-0.085274,-0.997015,-0.079106,-0.997172,-0.075151
9.550000,-1.260564,-0.148515,-0.991813,-0.128858,-0.992170,-0.124895
9.600000,-1.253139,-0.211543,-0.984131,-0.178288,-0.984688,-0.174327
9.650000,-1.242561,-0.274200,-0.973986,-0.227272,-0.974745,-0.223323
9.700000,-1.228851,-0.336328,-0.961405,-0.275687,-0.962365,-0.271761
9.750000,-1.212035,-0.397771,-0.946419,-0.323412,-0.947580,-0.319519
9.800000,-1.192146,-0.458372,-0.929065,-0.370329,-0.930426,-0.366479
9.850000,-1.169228,-0.517980,-0.909388,-0.416320,-0.910947,-0.412523
9.900000,-1.143329,-0.576441,-0.887435,-0.461269,-0.889191,-0.457536
9.950000,-1.114507,-0.633608,-0.863262,-0.505064,-0.865213,-0.501405
10.000000,-1.082826,-0.689333,-0.836930,-0.547595,-0.839072,-0.544021
10.050000,-1.048360,-0.743474,-0.808504,-0.588757,-0.810833,-0.585277
10.100000,-1.011186,-0.795892,-0.778056,-0.628447,-0.780568,-0.625071
10.150000,-0.971391,-0.846452,-0.745661,-0.666564,-0.748352,-0.663302
